Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOT,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,166.29,-89.5565,90.0,top
C1,4u7,C_0805_2012Metric,143.7,-103.23,180.0,top
C10,10u,C_0603_1608Metric,145.57,-82.49,180.0,top
C11,100n,C_0402_1005Metric,145.92,-81.02,180.0,top
C18,100n,C_0402_1005Metric,146.275,-86.97,180.0,top
C19,10u,C_0603_1608Metric,145.705,-85.48,180.0,top
C2,4u7,C_0805_2012Metric,139.4,-103.02,180.0,top
C20,100n,C_0402_1005Metric,146.29,-89.82,180.0,top
C21,10u,C_0603_1608Metric,145.72,-88.354,180.0,top
C22,1u,C_0805_2012Metric,153.29,-104.09,90.0,top
C23,1u,C_0805_2012Metric,159.81,-99.7,90.0,top
C24,10u,C_0603_1608Metric,150.69,-81.905,90.0,top
C25,100n,C_0402_1005Metric,155.76875,-85.1975,180.0,top
C26,100n,C_0402_1005Metric,155.76875,-87.9725,180.0,top
C27,10u,C_0603_1608Metric,156.33875,-86.585,180.0,top
C3,4u7,C_0805_2012Metric,138.42,-90.37,0.0,top
C4,4u7,C_0805_2012Metric,138.01,-82.565,-90.0,top
C5,4u7,C_0805_2012Metric,134.97,-67.548,180.0,top
C6,100n,C_0805_2012Metric,138.97,-67.548,180.0,top
C7,100n,C_0805_2012Metric,163.22,-97.3365,-90.0,top
C8,100n,C_0805_2012Metric,163.22,-91.3865,-90.0,top
C9,100n,C_0402_1005Metric,146.09,-84.04,180.0,top
D1,PESD5V0L1ULD,D_SOD-882D,143.85,-105.155,180.0,top
D2,SS14,SMA_L4.2-W2.6-LS5.0-RD_1,144.27,-97.32,-90.0,top
D3,SS14,SMA_L4.2-W2.6-LS5.0-RD_1,140.42,-97.32,-90.0,top
D4,LED,LED_0402_1005Metric,148.185,-97.82,180.0,top
D5,LED,LED_0402_1005Metric,148.175,-96.5,180.0,top
R1,5k1,R_0402_1005Metric,150.98,-105.29,90.0,top
R10,330,R_0402_1005Metric,147.33,-95.33,0.0,top
R11,10k,R_0402_1005Metric,153.12875,-90.55,90.0,top
R12,10k,R_0402_1005Metric,151.80875,-90.55,90.0,top
R13,33,R_0402_1005Metric,152.165,-82.455,-90.0,top
R14,33,R_0402_1005Metric,153.38,-82.455,-90.0,top
R15,33,R_0402_1005Metric,155.78875,-84.07,180.0,top
R16,33,R_0402_1005Metric,155.78875,-89.1,180.0,top
R2,5k1,R_0402_1005Metric,146.1,-104.905,90.0,top
R4,10k,R_0402_1005Metric,163.47,-93.8865,0.0,top
R5,100R,R_0402_1005Metric,163.47,-94.8865,180.0,top
R6,10k,R_0402_1005Metric,163.47,-87.8865,0.0,top
R7,100R,R_0402_1005Metric,163.47,-88.8865,180.0,top
R8,3.6k,R_0402_1005Metric,156.16,-100.53,0.0,top
R9,560,R_0402_1005Metric,147.4,-99.09,0.0,top
RST,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,166.34,-95.8465,90.0,top
U5,ES8388,QFN-28_L4.0-W4.0-P0.45-BL-EP,150.88875,-86.6,0.0,top
